Company,ICBSector,Ticker symbol,Index weighting (%)[1],In index since
AB InBev,Food & Beverage,Euronext Brussels : ABI,13.33,February 2002
Ackermans & van Haaren,Financial Services,Euronext Brussels : ACKB,3.42,March 2007
Aedifica,Real Estate,Euronext Brussels : AED,2.96,March 2020
Ageas,Insurance,Euronext Brussels : AGS,6.27,March 1991
Aperam,Basic Resources,Euronext Brussels : APAM,1.40,March 2017
arGEN-X [ nl ],Health Care,Euronext Brussels : ARGX,8.51,June 2018
Cofinimmo,Real Estate,Euronext Brussels : COFB,2.32,January 2003
Elia Group,Utilities,Euronext Brussels : ELI,3.71,March 2021
Galapagos,Health Care,Euronext Brussels : GLPG,1.69,March 2016
GBL,Financial Services,Euronext Brussels : GBLB,6.46,March 1991
KBC,Banks,Euronext Brussels : KBC,11.93,January 1993
Melexis [ nl ],Electronic Equipment,Euronext Brussels : MELE,1.82,March 2021
Proximus Group,Telecommunications,Euronext Brussels : PROX,1.28,March 2004
Sofina,Financial Services,Euronext Brussels : SOF,3.43,March 2017
Solvay,Chemicals,Euronext Brussels : SOLB,1.89,March 1991
Syensqo,Basic Materials,Euronext Brussels : SYENS,6.41,December 2023
UCB,Health Care,Euronext Brussels : UCB,9.86,March 1991
Umicore,Chemicals,Euronext Brussels : UMI,4.85,March 1991
WDP [ nl ],Real Estate,Euronext Brussels : WDP,4.60,March 2019
